ten_truyen_tieng_viet,nguon_tieng_viet,chap_da_dich,last_updated_tieng_viet,so_luong_doc,ten_truyen_original,nguon_original,chap_original,last_update_original,tag
Gậy Gỗ Cấp 99+,https://mollymax.co.uk/truyen-tranh/gay-go-cap-99,Chương 188,09/04/2026,10.240.214,N/A,N/A,N/A,N/A,update
Siêu Cấp Thần Cơ Nhân,https://mollymax.co.uk/truyen-tranh/sieu-cap-than-co-nhan,Chương 446,09/04/2026,5.755.680,N/A,N/A,N/A,N/A,update
Đại Pháp Sư Toàn Năng,https://mollymax.co.uk/truyen-tranh/dai-phap-su-toan-nang,Chương 163,09/04/2026,30.677.608,N/A,N/A,N/A,N/A,update
Hẹn Ước Sau Mưa,https://mollymax.co.uk/truyen-tranh/hen-uoc-sau-mua,Chương 9,09/04/2026,621,N/A,N/A,N/A,N/A,update
Urek Mazino,https://mollymax.co.uk/truyen-tranh/urek-mazino,Chương 57,09/04/2026,62.244,N/A,N/A,N/A,N/A,update
Cuộc Phiêu Lưu Kỳ Bí Của Jojo Phần 8: Jojolion,https://mollymax.co.uk/truyen-tranh/cuoc-phieu-luu-ky-bi-cua-jojo-phan-8-jojolion,Chương 89,09/04/2026,3.783,N/A,N/A,N/A,N/A,update
Tôi Lập Hậu Cung Khởi Đầu Từ Bán Hàng Rong,https://mollymax.co.uk/truyen-tranh/toi-lap-hau-cung-khoi-dau-tu-ban-hang-rong,Chương 24,09/04/2026,26.982,N/A,N/A,N/A,N/A,update
Xuyên Không Tới Tu Tiên Giới Làm Trù Thần,https://mollymax.co.uk/truyen-tranh/xuyen-khong-toi-tu-tien-gioi-lam-tru-than,Chương 98,09/04/2026,7.021,N/A,N/A,N/A,N/A,update
Sắp Xuất Ngũ Thì Isekai,https://mollymax.co.uk/truyen-tranh/sap-xuat-ngu-thi-isekai,Chương 194,09/04/2026,1.413.316,N/A,N/A,N/A,N/A,update
"Thích Khách Thần Cấp, Ta Chính Là Bóng Đêm",https://mollymax.co.uk/truyen-tranh/thich-khach-than-cap-ta-chinh-la-bong-dem,Chương 103,09/04/2026,350.899,N/A,N/A,N/A,N/A,update
Cửa Sổ Trạng Thái Là Cái Thá Gì,https://mollymax.co.uk/truyen-tranh/cua-so-trang-thai-la-cai-tha-gi,Chương 16,09/04/2026,1.886,N/A,N/A,N/A,N/A,update
Sự Tái Sinh Của Nhà Thiết Kế Tài Ba,https://mollymax.co.uk/truyen-tranh/su-tai-sinh-cua-nha-thiet-ke-tai-ba,Chương 62,09/04/2026,31.213,N/A,N/A,N/A,N/A,update
"Bí Mật Của Idol, Sau Giờ Học",https://mollymax.co.uk/truyen-tranh/bi-mat-cua-idol-sau-gio-hoc,Chương 78,09/04/2026,495.619,N/A,N/A,N/A,N/A,update
Quỷ Bí Thức Tỉnh: Mở Màn Nắm Giữ Nghìn Tỷ Quỷ Tệ,https://mollymax.co.uk/truyen-tranh/quy-bi-thuc-tinh-mo-man-nam-giu-nghin-ty-quy-te,Chương 22,09/04/2026,2.481,N/A,N/A,N/A,N/A,update
Ma Pháp Sư Thiên Tài Bị Giới Hạn Thời Gian,https://mollymax.co.uk/truyen-tranh/ma-phap-su-thien-tai-bi-gioi-han-thoi-gian,Chương 49,09/04/2026,43.477,N/A,N/A,N/A,N/A,update
"Tôi Giả Vờ Có Thai, Nhưng Chồng Tôi Đã Quay Trở Lại",https://mollymax.co.uk/truyen-tranh/toi-gia-vo-co-thai-nhung-chong-toi-da-quay-tro-lai,Chương 5,09/04/2026,455,N/A,N/A,N/A,N/A,update
Loạn Đấu Tokyo,https://mollymax.co.uk/truyen-tranh/loan-dau-tokyo,Chương 113,09/04/2026,495.928,N/A,N/A,N/A,N/A,update
Nhà Thiết Kế Thiên Tài Hồi Quy,https://mollymax.co.uk/truyen-tranh/nha-thiet-ke-thien-tai-hoi-quy,Chương 62,09/04/2026,89.652,N/A,N/A,N/A,N/A,update
"Fukushuu O Koinegau Saikyou Yuusha Wa, Yami No Chikara De Senmetsu Musou Suru",https://mollymax.co.uk/truyen-tranh/fukushuu-o-koinegau-saikyou-yuusha-wa-yami-no-chikara-de-senmetsu-musou-suru,Chương 126,09/04/2026,217.247,N/A,N/A,N/A,N/A,update
Vai Ác Sư Tôn Mang Theo Các Đồ Đệ Vô Địch Thiên Hạ,https://mollymax.co.uk/truyen-tranh/vai-ac-su-ton-mang-theo-cac-do-de-vo-dich-thien-ha,Chương 209,09/04/2026,4.741.948,N/A,N/A,N/A,N/A,update
Kimi No Koto Ga Dai Dai Dai Dai Daisuki Na 100-Ri No Kanojo,https://mollymax.co.uk/truyen-tranh/kimi-no-koto-ga-dai-dai-dai-dai-daisuki-na-100-ri-no-kanojo,Chương 245.5,09/04/2026,10.449.495,N/A,N/A,N/A,N/A,update
Thiên Sư Phục Linh,https://mollymax.co.uk/truyen-tranh/thien-su-phuc-linh,Chương 35,09/04/2026,1.485,N/A,N/A,N/A,N/A,update
Phù Thủy Ẩm Thực,https://mollymax.co.uk/truyen-tranh/phu-thuy-am-thuc,Chương 1,09/04/2026,156,N/A,N/A,N/A,N/A,update
Pháp Sư Mạnh Nhất,https://mollymax.co.uk/truyen-tranh/phap-su-manh-nhat,Chương 26,09/04/2026,645,N/A,N/A,N/A,N/A,update
Hình Như Tôi Đã Xuyên Vào Cuốn Tiểu Thuyết Nào Đó,https://mollymax.co.uk/truyen-tranh/hinh-nhu-toi-da-xuyen-vao-cuon-tieu-thuyet-nao-do,Chương 83,09/04/2026,107.845,N/A,N/A,N/A,N/A,update
"Tsuihou Sareta Renkinjutsushi-San, Saikyou No Danjon O Tsukurimasen Ka?",https://mollymax.co.uk/truyen-tranh/tsuihou-sareta-renkinjutsushi-san-saikyou-no-danjon-o-tsukurimasen-ka-,Chương 2,09/04/2026,581,N/A,N/A,N/A,N/A,update
Lãnh Chúa Dị Giới Nuôi Cả Lục Địa Bằng Cơm Nhà Làm,https://mollymax.co.uk/truyen-tranh/lanh-chua-di-gioi-nuoi-ca-luc-dia-bang-com-nha-lam,Chương 11,09/04/2026,1.108,N/A,N/A,N/A,N/A,update
Alma-Chan Wa Kazoku Ni Naritai,https://mollymax.co.uk/truyen-tranh/alma-chan-wa-kazoku-ni-naritai,Chương 10,09/04/2026,31.986,N/A,N/A,N/A,N/A,update
Trở Thành Đại Hoàng Tử: Huyền Thoại Kiếm Ca,https://mollymax.co.uk/truyen-tranh/tro-thanh-dai-hoang-tu-huyen-thoai-kiem-ca,Chương 30,09/04/2026,8.352,N/A,N/A,N/A,N/A,update
Kuroiwa Medaka Ni Watashi No Kawaii Ga Tsuujinai,https://mollymax.co.uk/truyen-tranh/kuroiwa-medaka-ni-watashi-no-kawaii-ga-tsuujinai,Chương 210,09/04/2026,7.226.745,N/A,N/A,N/A,N/A,update
Thợ Săn Cấp Sss Chuyển Sinh Thành Thiên Tài Nhà Công Tước,https://mollymax.co.uk/truyen-tranh/tho-san-cap-sss-chuyen-sinh-thanh-thien-tai-nha-cong-tuoc,Chương 42,09/04/2026,4.882,N/A,N/A,N/A,N/A,update
"Chuyển Sinh Thành Thất Hoàng Tử, Tôi Sẽ Tự Do Tùy Ý Trau Dồi Ma Thuật",https://mollymax.co.uk/truyen-tranh/chuyen-sinh-thanh-that-hoang-tu-toi-se-tu-do-tuy-y-trau-doi-ma-thuat,Chương 199,09/04/2026,2.471,N/A,N/A,N/A,N/A,update
"Sau Khi Chia Tay Hoa Khôi, Võ Đạo Của Ta Thẳng Tới Cấp Thần",https://mollymax.co.uk/truyen-tranh/sau-khi-chia-tay-hoa-khoi-vo-dao-cua-ta-thang-toi-cap-than,Chương 77,09/04/2026,60.703,N/A,N/A,N/A,N/A,update
Nữ Phản Diện Hồi Quy Có Quá Nhiều Việc Phải Làm,https://mollymax.co.uk/truyen-tranh/nu-phan-dien-hoi-quy-co-qua-nhieu-viec-phai-lam,Chương 1,09/04/2026,1.943,N/A,N/A,N/A,N/A,update
Higawari Shippo No Ozaki-Chan,https://mollymax.co.uk/truyen-tranh/higawari-shippo-no-ozaki-chan,Chương 21,09/04/2026,13.062,N/A,N/A,N/A,N/A,update
Trọng Sinh Chi Ác Phi Nghịch Tập,https://mollymax.co.uk/truyen-tranh/trong-sinh-chi-ac-phi-nghich-tap,Chương 45,09/04/2026,55.632,N/A,N/A,N/A,N/A,update
Tân Thiên Sư,https://mollymax.co.uk/truyen-tranh/tan-thien-su,Chương 35,09/04/2026,9.827,N/A,N/A,N/A,N/A,update
Vô Địch Chỉ Với 1 Máu,https://mollymax.co.uk/truyen-tranh/vo-dich-chi-voi-1-mau,Chương 18,09/04/2026,571,N/A,N/A,N/A,N/A,update
Girls Band Cry,https://mollymax.co.uk/truyen-tranh/girls-band-cry,Chương 2.1,09/04/2026,623,N/A,N/A,N/A,N/A,update
Ta Thật Sự Không Muốn Làm Gian Thần,https://mollymax.co.uk/truyen-tranh/ta-that-su-khong-muon-lam-gian-than,Chương 1,09/04/2026,187,N/A,N/A,N/A,N/A,update
Gả Cho Phản Diện,https://mollymax.co.uk/truyen-tranh/ga-cho-phan-dien,Chương 667,18/04/2025,676.078,N/A,N/A,N/A,N/A,update
Cuộc Sống Của Gián Điệp Ma Giáo,https://mollymax.co.uk/truyen-tranh/cuoc-song-cua-gian-diep-ma-giao,Chương 63,09/04/2026,22.613,N/A,N/A,N/A,N/A,update
Còn Ra Thể Thống Gì Nữa,https://mollymax.co.uk/truyen-tranh/con-ra-the-thong-gi-nua,Chương 46,09/04/2026,18.608,N/A,N/A,N/A,N/A,update
Hội Pháp Sư: Nhiệm Vụ 100 Năm,https://mollymax.co.uk/truyen-tranh/hoi-phap-su-nhiem-vu-100-nam,Chương 206,09/04/2026,50.922.520,N/A,N/A,N/A,N/A,update
Lỡ Mang Thai Với Sếp,https://mollymax.co.uk/truyen-tranh/lo-mang-thai-voi-sep,Chương 20.2,09/04/2026,923,N/A,N/A,N/A,N/A,update
Hoàng Tử Không Khóc Vì Hành Tây,https://mollymax.co.uk/truyen-tranh/hoang-tu-khong-khoc-vi-hanh-tay,Chương 1,09/04/2026,134,N/A,N/A,N/A,N/A,update
Wistoria Bản Hùng Ca Kiếm Và Pháp Trượng,https://mollymax.co.uk/truyen-tranh/wistoria-ban-hung-ca-kiem-va-phap-truong-1,Chương 59,09/04/2026,827.028,N/A,N/A,N/A,N/A,update
Trở Thành Vô Địch Bằng Hệ Thống Giảm Giá Trị,https://mollymax.co.uk/truyen-tranh/tro-tha-nh-vo-di-ch-ba-ng-he-tho-ng-gia-m-gia-tri,Chương 82,09/04/2026,84.632,N/A,N/A,N/A,N/A,update
Siêu Trộm Kỹ Năng Cấp Cheat,https://mollymax.co.uk/truyen-tranh/sieu-trom-ky-nang-cap-cheat,Chương 28,09/04/2026,1.561,N/A,N/A,N/A,N/A,update
Hoá Thân Thành Mèo,https://mollymax.co.uk/truyen-tranh/hoa-than-thanh-meo,Chương 396,09/04/2026,13.151.112,N/A,N/A,N/A,N/A,update
Kao Ni Denai Kashiwada-San To Kao Ni Deru Oota-Kun,https://mollymax.co.uk/truyen-tranh/kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun,Chương 67,09/04/2026,259.222,N/A,N/A,N/A,N/A,update
Ác Nữ Ai Cũng Mê,https://mollymax.co.uk/truyen-tranh/ac-nu-ai-cung-me,Chương 3,09/04/2026,102,N/A,N/A,N/A,N/A,update
U Minh Ngụy Tượng,https://mollymax.co.uk/truyen-tranh/u-minh-nguy-tuong,Chương 566,09/04/2026,1.897.766,N/A,N/A,N/A,N/A,update
Sức Mạnh Tối Đa? Ta Lại Là Vong Linh Sư!,https://mollymax.co.uk/truyen-tranh/suc-manh-toi-da-ta-lai-la-vong-linh-su,Chương 122,09/04/2026,5.977.913,N/A,N/A,N/A,N/A,update
Ta Ở Hoàng Cung Làm Đại Boss,https://mollymax.co.uk/truyen-tranh/ta-o-hoang-cung-lam-dai-boss,Chương 180,09/04/2026,11.000,N/A,N/A,N/A,N/A,update
Thu Thập Hậu Cung: Ta Phải Cứu Vớt 7 Ác Nữ,https://mollymax.co.uk/truyen-tranh/thu-thap-hau-cung-ta-phai-cuu-vot-7-ac-nu,Chương 51,09/04/2026,40.685,N/A,N/A,N/A,N/A,update
Tranh Thủ Kiếm Chác Ở Thế Giới Quỷ Dị Thì Làm Sao?,https://mollymax.co.uk/truyen-tranh/tranh-thu-kiem-chac-o-the-gioi-quy-di-thi-lam-sao-,Chương 12,09/04/2026,806,N/A,N/A,N/A,N/A,update
Đặc Chủng Trùng Sinh Về Thời Trung Học,https://mollymax.co.uk/truyen-tranh/dac-chung-trung-sinh-ve-thoi-trung-hoc,Chương 47,09/04/2026,1.289,N/A,N/A,N/A,N/A,update
Độc Cô Tử Linh Sư,https://mollymax.co.uk/truyen-tranh/doc-co-tu-linh-su,Chương 216,09/04/2026,7.631.246,N/A,N/A,N/A,N/A,update
Chuyển Sinh Thành Con Ngoài Giá Thú Của Gia Đình Kiếm Thuật Danh Tiếng,https://mollymax.co.uk/truyen-tranh/chuyen-sinh-thanh-con-ngoai-gia-thu-cua-gia-dinh-kiem-thuat-danh-tieng,Chương 90,09/04/2026,40.994,N/A,N/A,N/A,N/A,update
Các Nữ Đồ Đệ Của Ta Đều Là Chư Thiên Đại Lão Tương Lai,https://mollymax.co.uk/truyen-tranh/cac-nu-do-de-cua-ta-deu-la-chu-thien-dai-lao-tuong-lai,Chương 388,09/04/2026,18.584.782,N/A,N/A,N/A,N/A,update
Gậy Gỗ Cấp 99+,https://mollymax.co.uk/truyen-tranh/gay-go-cap-99,Chương 188,09/04/2026,10.240.214,N/A,N/A,N/A,N/A,update
Đại Pháp Sư Toàn Năng,https://mollymax.co.uk/truyen-tranh/dai-phap-su-toan-nang,Chương 163,09/04/2026,30.677.608,N/A,N/A,N/A,N/A,update
Nếu Hina-Chan Còn Sống,https://mollymax.co.uk/truyen-tranh/neu-hina-chan-con-song,Chương 4,09/04/2026,704,N/A,N/A,N/A,N/A,update
Urek Mazino,https://mollymax.co.uk/truyen-tranh/urek-mazino,Chương 57,09/04/2026,62.244,N/A,N/A,N/A,N/A,update
Ngàn Vàng Không Đổi,https://mollymax.co.uk/truyen-tranh/ngan-vang-khong-doi,Chương 131,09/04/2026,3.082,N/A,N/A,N/A,N/A,update
Sát Nhân Cuồng Loạn,https://mollymax.co.uk/truyen-tranh/sat-nhan-cuong-loan,Chương 185,09/04/2026,489.169,N/A,N/A,N/A,N/A,update
Tôi Lập Hậu Cung Khởi Đầu Từ Bán Hàng Rong,https://mollymax.co.uk/truyen-tranh/toi-lap-hau-cung-khoi-dau-tu-ban-hang-rong,Chương 24,09/04/2026,26.982,N/A,N/A,N/A,N/A,update
Xuyên Không Tới Tu Tiên Giới Làm Trù Thần,https://mollymax.co.uk/truyen-tranh/xuyen-khong-toi-tu-tien-gioi-lam-tru-than,Chương 98,09/04/2026,7.021,N/A,N/A,N/A,N/A,update
Triệu Hồi Sư Cuối Cùng,https://mollymax.co.uk/truyen-tranh/trieu-hoi-su-cuoi-cung,Chương 243,09/04/2026,107.358,N/A,N/A,N/A,N/A,update
Hệ Thống Siêu Cấp Trà Xanh,https://mollymax.co.uk/truyen-tranh/he-thong-sieu-cap-tra-xanh,Chương 130,09/04/2026,30.881,N/A,N/A,N/A,N/A,update
"Thích Khách Thần Cấp, Ta Chính Là Bóng Đêm",https://mollymax.co.uk/truyen-tranh/thich-khach-than-cap-ta-chinh-la-bong-dem,Chương 103,09/04/2026,350.899,N/A,N/A,N/A,N/A,update
Siêu Cấp Skeleton,https://mollymax.co.uk/truyen-tranh/sieu-cap-skeleton,Chương 77,09/04/2026,3.861,N/A,N/A,N/A,N/A,update
Cửa Sổ Trạng Thái Là Cái Thá Gì,https://mollymax.co.uk/truyen-tranh/cua-so-trang-thai-la-cai-tha-gi,Chương 16,09/04/2026,1.886,N/A,N/A,N/A,N/A,update
"Sekai Saikyou No Majo, Hajimemashita - Watashidake",https://mollymax.co.uk/truyen-tranh/sekai-saikyou-no-majo-hajimemashita-watashidake,Chương 19,09/04/2026,326,N/A,N/A,N/A,N/A,update
"Bí Mật Của Idol, Sau Giờ Học",https://mollymax.co.uk/truyen-tranh/bi-mat-cua-idol-sau-gio-hoc,Chương 78,09/04/2026,495.619,N/A,N/A,N/A,N/A,update
Tôi Trở Thành Đối Tượng Thu Thập Của Hậu Cung Dị Giới,https://mollymax.co.uk/truyen-tranh/toi-tro-thanh-doi-tuong-thu-thap-cua-hau-cung-di-gioi,Chương 129,09/04/2026,224.800,N/A,N/A,N/A,N/A,update
"Tôi Giả Vờ Có Thai, Nhưng Chồng Tôi Đã Quay Trở Lại",https://mollymax.co.uk/truyen-tranh/toi-gia-vo-co-thai-nhung-chong-toi-da-quay-tro-lai,Chương 5,09/04/2026,455,N/A,N/A,N/A,N/A,update
Youchien Wars,https://mollymax.co.uk/truyen-tranh/youchien-wars,Chương 100.5,09/04/2026,753.260,N/A,N/A,N/A,N/A,update
Sinh Đôi Xuyên Không,https://mollymax.co.uk/truyen-tranh/sinh-doi-xuyen-khong,Chương 147,09/04/2026,3.290.658,N/A,N/A,N/A,N/A,update
Nhà Thiết Kế Thiên Tài Hồi Quy,https://mollymax.co.uk/truyen-tranh/nha-thiet-ke-thien-tai-hoi-quy,Chương 62,09/04/2026,89.652,N/A,N/A,N/A,N/A,update
Quay Đầu Là Bờ,https://mollymax.co.uk/truyen-tranh/quay-dau-la-bo,Chương 19,09/04/2026,1.627,N/A,N/A,N/A,N/A,update
Vai Ác Sư Tôn Mang Theo Các Đồ Đệ Vô Địch Thiên Hạ,https://mollymax.co.uk/truyen-tranh/vai-ac-su-ton-mang-theo-cac-do-de-vo-dich-thien-ha,Chương 209,09/04/2026,4.741.948,N/A,N/A,N/A,N/A,update
Mình Tao Là Siêu Việt Giả Mạnh Nhất!,https://mollymax.co.uk/truyen-tranh/minh-tao-la-sieu-viet-gia-manh-nhat-,Chương 94,09/04/2026,381.704,N/A,N/A,N/A,N/A,update
Phù Thủy Ẩm Thực,https://mollymax.co.uk/truyen-tranh/phu-thuy-am-thuc,Chương 1,09/04/2026,156,N/A,N/A,N/A,N/A,update
"Tsuihou Sareta Renkinjutsushi-San, Saikyou No Danjon O Tsukurimasen Ka?",https://mollymax.co.uk/truyen-tranh/tsuihou-sareta-renkinjutsushi-san-saikyou-no-danjon-o-tsukurimasen-ka-,Chương 2,09/04/2026,581,N/A,N/A,N/A,N/A,update
Rozen Maiden,https://mollymax.co.uk/truyen-tranh/rozen-maiden,Chương 18,09/04/2026,2.194,N/A,N/A,N/A,N/A,update
Seihantai Na Kimi To Boku,https://mollymax.co.uk/truyen-tranh/seihantai-na-kimi-to-boku,Chương 3,09/04/2026,0,N/A,N/A,N/A,N/A,update
Lãnh Chúa Dị Giới Nuôi Cả Lục Địa Bằng Cơm Nhà Làm,https://mollymax.co.uk/truyen-tranh/lanh-chua-di-gioi-nuoi-ca-luc-dia-bang-com-nha-lam,Chương 11,09/04/2026,1.108,N/A,N/A,N/A,N/A,update
Kenka Banzuke Saijaku No Ore Ga E O Kaku Dake De Kenka Saikyo Rankingu O Kakeagaru,https://mollymax.co.uk/truyen-tranh/kenka-banzuke-saijaku-no-ore-ga-e-o-kaku-dake-de-kenka-saikyo-rankingu-o-kakeagaru,Chương 23,09/04/2026,2.169,N/A,N/A,N/A,N/A,update
Trở Thành Đại Hoàng Tử: Huyền Thoại Kiếm Ca,https://mollymax.co.uk/truyen-tranh/tro-thanh-dai-hoang-tu-huyen-thoai-kiem-ca,Chương 30,09/04/2026,8.352,N/A,N/A,N/A,N/A,update
Thợ Săn Cấp Sss Chuyển Sinh Thành Thiên Tài Nhà Công Tước,https://mollymax.co.uk/truyen-tranh/tho-san-cap-sss-chuyen-sinh-thanh-thien-tai-nha-cong-tuoc,Chương 42,09/04/2026,4.882,N/A,N/A,N/A,N/A,update
Thống Trị Hầm Ngục Chỉ Với 1 Hp,https://mollymax.co.uk/truyen-tranh/thong-tri-ham-nguc-chi-voi-1-hp,Chương 25,09/04/2026,6.855,N/A,N/A,N/A,N/A,update
"Sau Khi Chia Tay Hoa Khôi, Võ Đạo Của Ta Thẳng Tới Cấp Thần",https://mollymax.co.uk/truyen-tranh/sau-khi-chia-tay-hoa-khoi-vo-dao-cua-ta-thang-toi-cap-than,Chương 77,09/04/2026,60.703,N/A,N/A,N/A,N/A,update
Ngục Thú,https://mollymax.co.uk/truyen-tranh/nguc-thu,Chương 34,09/04/2026,4.708,N/A,N/A,N/A,N/A,update
Higawari Shippo No Ozaki-Chan,https://mollymax.co.uk/truyen-tranh/higawari-shippo-no-ozaki-chan,Chương 21,09/04/2026,13.062,N/A,N/A,N/A,N/A,update
Bổn Thánh Nữ Ngã Bài Rồi,https://mollymax.co.uk/truyen-tranh/bon-thanh-nu-nga-bai-roi,Chương 464,09/04/2026,351.238,N/A,N/A,N/A,N/A,update
Cửa Hàng Vô Danh,https://mollymax.co.uk/truyen-tranh/cua-hang-vo-danh,Chương 259,09/04/2026,672.719,N/A,N/A,N/A,N/A,update
Tân Thiên Sư,https://mollymax.co.uk/truyen-tranh/tan-thien-su,Chương 35,09/04/2026,9.827,N/A,N/A,N/A,N/A,update
Vô Địch Chỉ Với 1 Máu,https://mollymax.co.uk/truyen-tranh/vo-dich-chi-voi-1-mau,Chương 18,09/04/2026,571,N/A,N/A,N/A,N/A,update
Ta Thật Sự Không Muốn Làm Gian Thần,https://mollymax.co.uk/truyen-tranh/ta-that-su-khong-muon-lam-gian-than,Chương 1,09/04/2026,187,N/A,N/A,N/A,N/A,update
Vạn Cổ Kiếm Thần,https://mollymax.co.uk/truyen-tranh/van-co-kiem-than,Chương 238,09/04/2026,3.552.359,N/A,N/A,N/A,N/A,update
Horimiya,https://mollymax.co.uk/truyen-tranh/horimiya,Chương 54 - Không Có 54,26/12/2016,9.055.562,N/A,N/A,N/A,N/A,update
Cuộc Sống Của Gián Điệp Ma Giáo,https://mollymax.co.uk/truyen-tranh/cuoc-song-cua-gian-diep-ma-giao,Chương 63,09/04/2026,22.613,N/A,N/A,N/A,N/A,update
Cuộc Đời Của Thiên Tài Piano,https://mollymax.co.uk/truyen-tranh/cuoc-doi-cua-thien-tai-piano,Chương 61,09/04/2026,27.998,N/A,N/A,N/A,N/A,update
Hội Pháp Sư: Nhiệm Vụ 100 Năm,https://mollymax.co.uk/truyen-tranh/hoi-phap-su-nhiem-vu-100-nam,Chương 206,09/04/2026,50.922.520,N/A,N/A,N/A,N/A,update
Kiwi Medio Yuki Sama,https://mollymax.co.uk/truyen-tranh/kiwi-medio-yuki-sama,Chương 61,09/04/2026,39.076,N/A,N/A,N/A,N/A,update
Hoàng Tử Không Khóc Vì Hành Tây,https://mollymax.co.uk/truyen-tranh/hoang-tu-khong-khoc-vi-hanh-tay,Chương 1,09/04/2026,134,N/A,N/A,N/A,N/A,update
Wistoria Bản Hùng Ca Kiếm Và Pháp Trượng,https://mollymax.co.uk/truyen-tranh/wistoria-ban-hung-ca-kiem-va-phap-truong-1,Chương 59,09/04/2026,827.028,N/A,N/A,N/A,N/A,update
Mạnh Nhất Lịch Sử,https://mollymax.co.uk/truyen-tranh/manh-nhat-lich-su,Chương 329,09/04/2026,3.892.947,N/A,N/A,N/A,N/A,update
Chiến Binh Máu Lạnh,https://mollymax.co.uk/truyen-tranh/chien-binh-mau-lanh,Chương 51,09/04/2026,20.624,N/A,N/A,N/A,N/A,update
Kao Ni Denai Kashiwada-San To Kao Ni Deru Oota-Kun,https://mollymax.co.uk/truyen-tranh/kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun,Chương 67,09/04/2026,259.222,N/A,N/A,N/A,N/A,update
Con Slime Yếu Nhất Ta Từng Cứu Giờ Đã Trở Thành Huyền Thoại!,https://mollymax.co.uk/truyen-tranh/con-slime-yeu-nhat-ta-tung-cuu-gio-da-tro-thanh-huyen-thoai,Chương 38,09/04/2026,1.450,N/A,N/A,N/A,N/A,update
U Minh Ngụy Tượng,https://mollymax.co.uk/truyen-tranh/u-minh-nguy-tuong,Chương 566,09/04/2026,1.897.766,N/A,N/A,N/A,N/A,update
Võ Đại Lang Mạnh Nhất Tái Sinh Ở Thế Giới Thủy Hử,https://mollymax.co.uk/truyen-tranh/vo-dai-lang-manh-nhat-tai-sinh-o-the-gioi-thuy-hu,Chương 46,09/04/2026,21.671,N/A,N/A,N/A,N/A,update
Ta Ở Hoàng Cung Làm Đại Boss,https://mollymax.co.uk/truyen-tranh/ta-o-hoang-cung-lam-dai-boss,Chương 180,09/04/2026,11.000,N/A,N/A,N/A,N/A,update
Làm Khoa Học Trong Thế Giới Phép Thuật Thì Như Thế Nào?,https://mollymax.co.uk/truyen-tranh/lam-khoa-hoc-trong-the-gioi-phep-thuat-thi-nhu-the-nao,Chương 48,09/04/2026,45.270,N/A,N/A,N/A,N/A,update
Tranh Thủ Kiếm Chác Ở Thế Giới Quỷ Dị Thì Làm Sao?,https://mollymax.co.uk/truyen-tranh/tranh-thu-kiem-chac-o-the-gioi-quy-di-thi-lam-sao-,Chương 12,09/04/2026,806,N/A,N/A,N/A,N/A,update
Huyết Tộc Trong Kỷ Nguyên Siêu Năng,https://mollymax.co.uk/truyen-tranh/huyet-toc-trong-ky-nguyen-sieu-nang,Chương 43,09/04/2026,53.833,N/A,N/A,N/A,N/A,update
Aishiteru Game Wo Owarasetai,https://mollymax.co.uk/truyen-tranh/aishiteru-game-wo-owarasetai,Chương 66,09/04/2026,768.321,N/A,N/A,N/A,N/A,update
Henjo ~Hen Na Joshi Kousei Amaguri Senko~,https://mollymax.co.uk/truyen-tranh/henjo-hen-na-joshi-kousei-amaguri-senko-,Chương 133,08/04/2026,1.039,N/A,N/A,N/A,N/A,update
Người Một Nhà,https://mollymax.co.uk/truyen-tranh/nguoi-mot-nha,Chương 124,09/04/2026,48.368,N/A,N/A,N/A,N/A,update
Mẹ Kế Bất Đắc Dĩ,https://mollymax.co.uk/truyen-tranh/me-ke-bat-dac-di,Chương 18.2,09/04/2026,1.401,N/A,N/A,N/A,N/A,update
Muốn Bị Lừa Dối,https://mollymax.co.uk/truyen-tranh/muon-bi-lua-doi,Chương 43,09/04/2026,4.498,N/A,N/A,N/A,N/A,update
Đặc Chủng Trùng Sinh Về Thời Trung Học,https://mollymax.co.uk/truyen-tranh/dac-chung-trung-sinh-ve-thoi-trung-hoc,Chương 47,09/04/2026,1.289,N/A,N/A,N/A,N/A,update
Đại Đạo Chi Thượng,https://mollymax.co.uk/truyen-tranh/dai-dao-chi-thuong,Chương 19,09/04/2026,1.164,N/A,N/A,N/A,N/A,update
Độc Cô Tử Linh Sư,https://mollymax.co.uk/truyen-tranh/doc-co-tu-linh-su,Chương 216,09/04/2026,7.631.246,N/A,N/A,N/A,N/A,update
Các Nữ Đồ Đệ Của Ta Đều Là Chư Thiên Đại Lão Tương Lai,https://mollymax.co.uk/truyen-tranh/cac-nu-do-de-cua-ta-deu-la-chu-thien-dai-lao-tuong-lai,Chương 388,09/04/2026,18.584.782,N/A,N/A,N/A,N/A,update
Đô Thị Cực Phẩm Y Thần,https://mollymax.co.uk/truyen-tranh/do-thi-cuc-pham-y-than,Chương 327,09/04/2026,1.100.503,N/A,N/A,N/A,N/A,update
Nếu Hina-Chan Còn Sống,https://mollymax.co.uk/truyen-tranh/neu-hina-chan-con-song,Chương 4,09/04/2026,704,N/A,N/A,N/A,N/A,update
Cao Võ: Hạ Cánh Đến Một Vạn Năm Sau,https://mollymax.co.uk/truyen-tranh/cao-vo-ha-canh-den-mot-van-nam-sau,Chương 310,09/04/2026,30.787.592,N/A,N/A,N/A,N/A,update
